sire,rank,category,surface,key,runs,win_pct,rentai_pct,place_pct,tan_return,fuku_return
キズナ,1,age,芝,2歳,106-94-67-425,15.3,28.9,38.6,122.7,94.2
キズナ,1,age,芝,3歳,208-146-157-1153,12.5,21.3,30.7,101.2,87.8
キズナ,1,age,芝,4歳,91-92-89-686,9.5,19.1,28.4,76.6,80.2
キズナ,1,age,芝,5歳,32-49-43-424,5.8,14.8,22.6,98.0,90.5
キズナ,1,age,芝,6歳以上,6-9-9-194,2.8,6.9,10.9,,
キズナ,1,age,ダ,2歳,21-14-16-129,11.8,19.7,29.8,83.5,
キズナ,1,age,ダ,3歳,128-110-91-752,11.8,22.0,30.4,90.4,76.3
キズナ,1,age,ダ,4歳,75-58-67-468,11.3,19.9,29.9,,74.0
キズナ,1,age,ダ,5歳,21-22-22-247,7.1,,,,
キズナ,1,baba,芝,良,347-308-291-2233,10.9,20.6,29.8,,
キズナ,1,baba,芝,稍,60-64-49-456,9.5,19.7,27.5,88.1,
キズナ,1,baba,芝,重,31-16-22-163,13.4,20.3,29.7,,
キズナ,1,baba,芝,不良,5-2-3-30,12.5,17.5,25.0,43.5,45.0
キズナ,1,baba,ダ,良,167-128-130-1094,11.1,19.3,28.4,100.9,80.9
キズナ,1,baba,ダ,稍,42-41-30-311,9.7,19.2,26.0,69.4,74.2
キズナ,1,baba,ダ,重,9-20.5-27.4-42,,,,,77.9
キズナ,1,baba,ダ,不良,19-10-3-66,12.5,14.6,23.0,100.1,52.4
キズナ,1,course,芝,札幌,24-13-17-140,12.4,19.1,27.8,122.6,79.9
キズナ,1,course,芝,函館,22-9-16-94,15.6,22.0,33.3,158.5,98.8
キズナ,1,course,芝,福島,31-22-23-153,13.5,23.1,33.0,146.3,105.4
キズナ,1,course,芝,新潟,35-35-34-287,9.0,17.9,26.6,60.0,84.3
キズナ,1,course,芝,東京,57-64-57-361,10.6,22.4,31.0,61.0,85.9
キズナ,1,course,芝,中山,46-40-39-310,10.6,19.8,28.7,79.1,90.9
キズナ,1,course,芝,中京,58-50-56-406,10.2,19.0,28.9,,
キズナ,1,course,芝,京都,63-47-37-351,12.7,22.1,29.5,74.1,78.4
キズナ,1,course,芝,阪神,73-74-56-460,11.0,22.3,30.6,128.1,100.5
キズナ,1,course,芝,小倉,34-36-30-320,8.1,16.7,23.8,45.4,60.0
キズナ,1,course,ダ,札幌,8-4-2-44,,,,67.2,49.3
キズナ,1,course,ダ,函館,10-5-3-46,15.6,23.4,28.1,97.7,63.0
キズナ,1,course,ダ,福島,6-8-16-79,,,,19.2,47.6
キズナ,1,course,ダ,新潟,19-12-12-114,12.1,19.7,27.4,65.6,
キズナ,1,course,ダ,東京,24-29-28-266,6.9,15.3,23.4,,81.6
キズナ,1,course,ダ,中山,21-10-19-187,8.9,13.1,21.1,95.2,69.3
キズナ,1,course,ダ,中京,57-47-46-346,11.5,21.0,30.2,145.5,89.4
キズナ,1,course,ダ,京都,32-31-29-184,11.6,22.8,33.3,,
キズナ,1,course,ダ,阪神,63-55-52-331,12.6,23.6,33.9,60.1,89.6
キズナ,1,course,ダ,小倉,14-6-12-130,8.6,12.3,19.6,,
キズナ,1,distance,芝,1000,1-7-4-38,2.0,16.0,24.0,6.6,69.4
キズナ,1,distance,芝,1200,38-31-35-370,8.0,14.6,21.9,77.7,73.6
キズナ,1,distance,芝,1400,30-27-34-249,8.8,16.8,26.8,65.3,79.0
キズナ,1,distance,芝,1600,90-76-57-562,11.5,21.1,28.4,86.6,82.7
キズナ,1,distance,芝,1700,—,,,,,
キズナ,1,distance,芝,1800,98-84-75-532,12.4,23.1,32.6,94.4,87.1
キズナ,1,distance,芝,2000,120-91-93-691,12.1,21.2,30.6,128.8,87.5
キズナ,1,distance,芝,2200,25-22-26-168,10.3,19.5,30.3,96.7,101.4
キズナ,1,distance,芝,2300〜,44-48-42-272,10.8,22.7,33.0,50.5,81.7
キズナ,1,distance,ダ,1000,1-1-4-31,2.7,5.4,16.2,5.1,34.1
キズナ,1,distance,ダ,1200,13-14-13-198,5.7,11.8,17.5,64.6,
キズナ,1,distance,ダ,1400,41-29-25-284,11.0,18.8,25.1,60.4,68.4
キズナ,1,distance,ダ,1600,10-12-14-125,6.2,13.7,22.4,24.4,76.4
キズナ,1,distance,ダ,1700,33-18-14-228,11.3,17.4,22.2,69.0,57.5
キズナ,1,distance,ダ,1800,122-95-92-638,12.9,22.9,32.6,133.6,92.9
キズナ,1,distance,ダ,2000,10-7-9-50,,,,,
キズナ,1,distance,ダ,2200,33-37-43-213,10.1,21.5,34.7,64.0,86.9
キズナ,1,draw,芝,1,43-49-31-302,10.1,21.6,28.9,72.0,
キズナ,1,draw,芝,2,45-43-37-301,10.7,20.9,27.7,140.8,
キズナ,1,draw,芝,3,52-52-46-340,10.7,21.4,30.9,104.9,86.7
キズナ,1,draw,芝,4,53-51-44-363,10.4,20.4,29.0,,
キズナ,1,draw,芝,5,67-52-40-411,11.8,20.9,28.0,,
キズナ,1,draw,芝,6,67-45-50-364,13.0,21.7,31.3,153.0,102.8
キズナ,1,draw,芝,7,63-36-48-423,11.1,17.4,25.9,,
キズナ,1,draw,芝,8,55-56-46-426,9.4,19.0,26.9,,
キズナ,1,draw,ダ,1,11-13-17-119,,11.8,17.3,24.0,
キズナ,1,draw,ダ,2,21-15-15-110,,,,24.6,
キズナ,1,draw,ダ,3,9.9-10-26.7-143,,,26.7,148.3,72.0
キズナ,1,draw,ダ,4,29-25-23-226,,,,,
キズナ,1,draw,ダ,5,9.6-17.5-26.2-152,,17.5,26.2,57.2,75.5
キズナ,1,draw,ダ,6,9-18-22-152,,,,27.5,75.2
キズナ,1,draw,ダ,7,12-21-28-118,,21.8,31.0,118.5,82.1
キズナ,1,draw,ダ,8,14-7-26-148,,,,,
キズナ,1,klass,芝,新馬,55-43-38-220,15.1,26.9,37.4,107.6,75.3
キズナ,1,klass,芝,未勝利,130-106-85-723,12.5,22.6,30.7,,
キズナ,1,klass,芝,1勝クラス,107-98-109-777,9.9,19.0,29.1,,
キズナ,1,klass,芝,2勝クラス,66-58-45-332,13.2,24.6,33.6,,
キズナ,1,klass,芝,3勝クラス,30-32-41-287,7.7,15.9,26.4,,
キズナ,1,klass,芝,OPEN,55-53-47-535,8.0,15.7,22.6,67.4,
キズナ,1,klass,ダ,新馬,13.0-21.5-26.8-220,,,,,
キズナ,1,klass,ダ,未勝利,26-28.6-32.9-723,,28.6,,97.3,81.9
キズナ,1,klass,ダ,1勝クラス,9.5-7.2-12.9-777,,,,,61.6
キズナ,1,klass,ダ,2勝クラス,20-19-27-332,,,,76.8,63.6
キズナ,1,klass,ダ,3勝クラス,9.4-13-33-287,,,33.0,,80.0
キズナ,1,klass,ダ,OPEN,9.5-14.2-19-535,,14.2,,114.3,83.7
キズナ,1,other,芝,2025,106-100-81-661,11.2,21.7,30.3,92.1,72.4
キズナ,1,other,芝,2024,116-77-71-623,13.1,21.8,29.8,76.9,73.0
キズナ,1,other,芝,2023,85-87-76-541,10.8,21.8,31.4,72.5,
キズナ,1,other,芝,2022,74-68-69-564,9.5,18.3,27.2,138.6,103.1
キズナ,1,other,芝,2021,62-58-68-493,9.1,17.6,27.6,85.3,92.8
キズナ,1,other,芝,新馬,50-40-34-193,15.8,28.4,39.1,109.4,78.7
キズナ,1,other,ダ,2025,47-42-36-293,11.2,21.3,29.9,50.7,60.5
キズナ,1,other,ダ,2024,57-43-39-337,12.0,21.0,29.2,107.0,73.3
キズナ,1,other,ダ,2023,40-36-32-310,9.6,18.2,25.8,73.0,
キズナ,1,other,ダ,2022,33-37-46-313,7.6,16.0,26.6,81.7,84.7
キズナ,1,other,ダ,2021,56-48-49-414,9.8,18.2,27.0,116.0,
キズナ,1,other,ダ,新馬,6-5-3-29,14.0,25.6,32.6,49.3,
キズナ,1,pace,芝,逃げ,188-142-115-694,16.5,29.0,39.1,177.5,119.1
キズナ,1,pace,芝,先行,152-134-125-753,13.1,24.7,35.5,,68.4
キズナ,1,pace,芝,差し,67-69-83-701,7.3,14.8,23.7,,
キズナ,1,pace,芝,追込,35-38-39-692,4.4,9.1,13.9,,30.7
キズナ,1,pace,ダ,逃げ,157-88-74-396,22.0,34.3,44.6,151.2,116.9
キズナ,1,pace,ダ,先行,32-33-31-302,,,,68.4,
キズナ,1,pace,ダ,差し,10-13-19-302,,,,,
キズナ,1,pace,ダ,追込,9-8-21-406,,,,,30.7
キズナ,1,popularity,芝,1番人気,162-88-51-154,35.6,54.9,66.3,85.6,84.7
キズナ,1,popularity,芝,2番人気,87-83-69-197,20.0,39.0,54.8,77.7,84.5
キズナ,1,popularity,芝,3番人気,69-54-52-214,17.7,31.6,45.0,100.0,85.0
キズナ,1,popularity,芝,4番人気,31-44-48-252,8.3,20.0,32.8,67.1,79.5
キズナ,1,popularity,芝,5番人気,27-35-35-242,8.0,18.3,28.6,83.3,82.4
キズナ,1,popularity,芝,6番人気以下,67-86-110-1823,3.2,7.3,12.6,102.3,87.9
キズナ,1,popularity,ダ,1番人気,104-51-37-96,36.1,53.8,66.7,84.4,86.6
キズナ,1,popularity,ダ,2番人気,38-54-27-118,16.0,38.8,50.2,65.1,88.0
キズナ,1,popularity,ダ,3番人気,41-25-40-117,17.4,28.0,45.0,,
キズナ,1,popularity,ダ,4番人気,26-30-22-138,12.0,,,,
キズナ,1,popularity,ダ,5番人気,18-15-23-151,8.7,16.0,27.2,,
キズナ,1,popularity,ダ,6番人気以下,34-41-62-1032,2.9,6.4,11.7,102.3,76.4
キズナ,1,season,芝,春(3〜5月),133-126-104-906,10.5,20.5,28.7,,
キズナ,1,season,芝,夏(6〜8月),125-87-90-746,11.9,20.2,28.7,109.4,
キズナ,1,season,芝,秋(9〜11月),104-108-104-728,10.2,20.7,30.9,,
キズナ,1,season,芝,冬(12〜2月),94-90-72-715,9.7,18.9,26.4,,
キズナ,1,season,ダ,春(3〜5月),60-43-50-373,11.4,19.6,29.2,,70.7
キズナ,1,season,ダ,夏(6〜8月),49-42-35-396,,,,,
キズナ,1,season,ダ,秋(9〜11月),57-42-57-363,11.0,19.1,,,72.0
キズナ,1,season,ダ,冬(12〜2月),94-72-71-715,11.2,20.2,27.7,131.8,85.9
キズナ,1,sex,芝,牡馬,213-184-173-1242,11.8,21.9,31.5,75.9,83.0
キズナ,1,sex,ダ,牡馬,159-143-149-982,11.1,21.1,31.5,99.9,87.7
ロードカナロア,2,age,芝,2歳,78-76-52-426,12.3,24.4,32.6,74.8,72.6
ロードカナロア,2,age,芝,3歳,201-160-121-1164,12.2,21.9,29.3,69.6,
ロードカナロア,2,age,芝,4歳,114-109-74-693,11.5,22.3,29.7,84.5,
ロードカナロア,2,age,芝,5歳,64-75-57-621,7.8,17.0,24.0,,81.9
ロードカナロア,2,age,芝,6歳以上,38-37-23-504,6.3,12.3,16.1,,
ロードカナロア,2,age,ダ,2歳,47-61-43-285,15.0,23.3,31.6,131.7,78.0
ロードカナロア,2,age,ダ,3歳,132-130-105-890,10.7,19.1,27.6,62.2,69.0
ロードカナロア,2,age,ダ,4歳,71-55-49-568,9.6,18.6,25.1,,81.9
ロードカナロア,2,age,ダ,5歳,30-31-33-415,,,,,
ロードカナロア,2,age,ダ,6歳以上,23-12-11-348,,,,,
ロードカナロア,2,baba,芝,良,403-359-260-2540,11.0,20.7,28.0,80.2,78.5
ロードカナロア,2,baba,芝,稍,61-65-44-504,9.1,18.7,25.2,60.4,65.0
ロードカナロア,2,baba,芝,重,27-25-21-222,9.2,17.6,24.7,73.1,65.0
ロードカナロア,2,baba,芝,不良,4-2-3-37,8.7,13.0,19.5,206.1,70.0
ロードカナロア,2,baba,ダ,良,168-145-140-1503,8.5,16.8,24.2,88.8,80.1
ロードカナロア,2,baba,ダ,稍,43-43-32-413,7.9,15.8,23.6,42.3,60.0
ロードカナロア,2,baba,ダ,重,32-23-26-281,8.8,15.2,22.3,23.6,49.1
ロードカナロア,2,baba,ダ,不良,19-9-11-114,12.5,18.4,,101.7,52.9
ロードカナロア,2,course,芝,札幌,25-25-14-173,10.5,21.1,27.0,69.5,85.9
ロードカナロア,2,course,芝,函館,21-27-13-147,10.3,23.5,,,90.6
ロードカナロア,2,course,芝,福島,18-20-18-189,7.3,15.5,22.9,,79.4
ロードカナロア,2,course,芝,新潟,47-34-39-340,10.2,17.6,26.1,108.7,87.5
ロードカナロア,2,course,芝,東京,80-84-61-505,11.0,22.5,30.8,,79.0
ロードカナロア,2,course,芝,中山,57-63-36-397,10.3,21.7,28.2,55.4,79.2
