race_date,publish_date,course,race,type,umaban,name,popularity_est,comment,race_id,surface,distance,baba,actual_finish,actual_pop,actual_odds,actual_name
20260530,2026-05-29,東京,6,◎,3,ナックホワイト,6,"前走は外伸び馬場で最内を逃げる形になってしまい大敗したが、2走前は重賞で勝ち馬と0.2秒差の大健闘。
今回は初ダートになるが、芝スタートなので好発決め砂をかぶらないように逃げられれば一発がある。
他候補だった1.2.12は紐まで。",202605021106,ダ,1600,良,12,5,55.0,ナックホワイト
20260530,2026-05-29,東京,7,◎,10,グロリアスマーチ,4,"前走はかなり内が有利な馬場で不利な15番枠から4頭分外を回るロスが痛かった。ただその前は3戦連続で馬券に絡み続けていた堅実な馬。
今回は内の7.8あたりが逃げて、その直後をスムーズに先行できれば巻き返せる。",202605021107,芝,1400,良,5,7,57.0,グロリアスマーチ
20260530,2026-05-29,東京,9,◎,6,サンドブラスト,10,"2走前は控える形になるも0.2差3着好走。しかもゴール後は突き抜けていた。今回は距離延長で位置取りやすくなりそうだし、好位で溜めて東京の長い直線でうまく捌ければ。
単穴は自分の形に持ち込めた時の11。",202605021109,ダ,1400,良,1,3,58.0,サンドブラスト
20260530,2026-05-29,東京,10,◎,9,ケイケイ,10,"ここのところは二桁着順が続いていたが、前走は3着とタイム差なしに走れており復調気配見えた。
元々このクラスでも惜しい競馬は何度もしていた実績あるし派手さがないので人気しないタイプなのも良い。外目の馬場の良いところをスムーズに走り続けられれば大穴に。",202605021110,芝,1600,良,9,7,58.0,ケイケイ
20260530,2026-05-29,東京,10,◎,7,トレサフィール,5,"前走は初ダートでさっぱり。
ただ芝なら3走前に重賞で厳しい展開でも勝ち馬エキサイトバイオと0.3差大健闘した実績あり。芝に戻して単騎で楽逃げさせてもらえたら一変していい。",202605021110,芝,1600,良,5,6,58.0,トレサフィール
20260530,2026-05-29,東京,10,紐,6,,,紐穴なら追い込み届く展開になった時の6.8。,202605021110,芝,1600,良,6,,58.0,ツルマウカタチ
20260530,2026-05-29,東京,10,紐,8,,,紐穴なら追い込み届く展開になった時の6.8。,202605021110,芝,1600,良,7,2,58.0,スナークピカソ
20260530,2026-05-29,東京,11,◎,5,ルージュスタニング,10,前走はスムーズな競馬ではあったが4頭分外を走っており、これでセギレエルビエントに勝ち切ったのは立派だった。今回は外に逃げ馬がいる並びで揉まれる可能性あるのがどうかも、うまく好位で流れに乗って運べればもう一丁があっていい。人気無いなら素直に狙う。,202605021111,ダ,1600,良,13,3,55.0,ルージュスタニング
20260530,2026-05-29,東京,11,紐,2,,,紐穴は2.13。,202605021111,ダ,1600,良,14,1,57.0,スナークラファエロ
20260530,2026-05-29,東京,11,紐,13,,,紐穴は2.13。,202605021111,ダ,1600,良,10,7,57.0,ハビレ
20260530,2026-05-29,東京,11,単穴,7,マーブルロック,11,,202605021111,ダ,1600,良,8,4,58.0,マーブルロック
20260530,2026-05-29,京都,7,◎,3,ワンダーイロネ,7,初芝+差し展開を2番手先行で0.1秒差に粘った前走の内容は評価できる。今回は同型が多いので被され揉まれるリスクあるのは怖いが、自分の形ならやれていいので人気薄ならもう一丁狙う。,202608031107,芝,1600,良,8,2,56.0,ワンダーイロネ
20260530,2026-05-29,京都,8,◎,8,エイヨーアメジスト,9,"前走は前残りの展開を後方から大外回す形で4着ではあったが、勝ち馬ボンヌソワレとタイム差はなかった。
今回は騎手も継続騎乗になるし前走の経験を活かして脚を使い切るよう仕掛けてくれれば。
その他候補だった1.4.5.6.12は紐まで。",202608031108,芝,1400,良,5,6,56.0,エイヨーアメジスト
20260530,2026-05-29,京都,9,◎,1,スターシップ,6,"前走は勝ち馬が強すぎたが3着は大きく離しての2着に好走。
コントロールが難しそうな馬なので、少頭数+継続騎乗は歓迎。
後方からになると思うが、前が潰し合う展開になってくれれば差し込みも。",202608031109,ダ,1800,良,4,2,57.0,スターシップ
20260530,2026-05-29,京都,11,◎,16,ショウナンカリス,9,"前走はG1桜花賞でハイペースを外々先行する形は流石に厳しく、1600ｍも長かった。1200mで細かい折り合いを気にせず外を伸び伸び走る形なら一発があっても。
団子展開になったら外々走らされ続けて終了するリスクのある大外枠は悩ましいが、現在10人気と人気薄ならそのリスクも許容。逃げ先行馬が多いので内前で潰し合い超ハイペース縦長になる事を祈って狙う。",202608031111,芝,1200,良,10,8,55.0,ショウナンカリス
20260530,2026-05-29,京都,12,◎,14,サマースイートピー,11,"前走は5ヶ月ぶりだったし上位の牡馬3頭も強かった。4着に粘れた事を素直に評価。今回は内側の9ランスオブセヘルが強い先行馬なので、これをマークしながら運べれば。
その他候補の2.4.6-9.15は紐評価まで。
この度は私の記事をご覧くださりありがとうございます。もし少しでも参考になりましたら「スキ（ハートボタン）」や「オススメ」等押して頂けますととても励みになります！(_ _)
※ハートボタンを押すと「期待値の高い騎手」がランダムで表示されます。",202608031112,ダ,1200,良,9,7,56.0,サマースイートピー
20260524,2026-05-23,東京,7,◎,1,ムーンストラック,11,"前走は接触する不利もあり惨敗したが、2走前は展開不利の中3着と0.1秒差。その前もこのクラスで惜しい競馬はしていた。
今回は1枠なので内ラチ沿いをぴったりロスなく回ってこられれば。土曜は外伸び傾向だったが、各馬がそれを意識して過剰に内を避けるようなら逆に最短距離を通れるこの枠がメリットになる可能性も。",202605021007,芝,2400,良,11,9,56.0,ムーンストラック
20260524,2026-05-23,東京,8,◎,4,ライフゲート,6,前走は先行争いで被され窮屈。ただ厳しい形でも3着を確保したのは立派だった。今回も同型は多いがすんなり先行できれば能力は上位なので。,202605021008,ダ,1600,稍,13,2,58.0,ライフゲート
20260524,2026-05-23,東京,8,紐,2,,,紐穴は2.3.6.13.14。,202605021008,ダ,1600,稍,7,1,58.0,マンダリンボレロ
20260524,2026-05-23,東京,8,紐,3,,,紐穴は2.3.6.13.14。,202605021008,ダ,1600,稍,9,2,58.0,クラッシファイド
20260524,2026-05-23,東京,8,紐,6,,,紐穴は2.3.6.13.14。,202605021008,ダ,1600,稍,4,3,58.0,バロンドール
20260524,2026-05-23,東京,8,紐,13,,,紐穴は2.3.6.13.14。,202605021008,ダ,1600,稍,14,7,58.0,ペッレグリーニ
20260524,2026-05-23,東京,8,紐,14,,,紐穴は2.3.6.13.14。,202605021008,ダ,1600,稍,6,7,58.0,バルダンツァ
20260524,2026-05-23,東京,9,◎,2,レッドバレンティア,8,"前走は斤量一気増加+抑え込み荒れた内でも0.4差とそう負けなかった。今回は前走から斤量が5キロも減るし、3走前善戦していたコースに戻るので見直したい。
12バガン(6番人気想定)も近走そう大負けしていないので、人気手頃なら押さえておきたい。",202605021009,芝,1800,良,5,8,53.0,レッドバレンティア
20260524,2026-05-23,東京,11,◎,5,リアライズルミナス,12,"前走は好発決め逃げたが暴走した馬に絡まれ揉まれかなり厳しい形。流れもスローペースからのキレ勝負で得意とは言えない展開だったがそれでも今回人気のエンネとは僅か0.1差と力は示していた。
前走のエンネとの着差を考慮すれば、ここまで人気が落ちるのは不当とみて思い切って狙う。内枠引いたし内前でロスなく運んで持久力勝負に持ち込めれば。
他、穴なら",202605021011,芝,2400,良,4,3,55.0,リアライズルミナス
20260524,2026-05-23,京都,10,◎,6,トーアジョウトウ,7,"前走は競りながらも0.2差4着と健闘。今回は外の11と12が強いためこれらにマークされる形になったら厳しいが、単騎逃げになってくれれば一発があっても。
他、11.12→6.7のワイド4点も軽く買っておく。",202608031010,ダ,1200,良,12,4,58.0,トーアジョウトウ
20260524,2026-05-23,京都,11,◎,6,ナムラエイハブ,6,2走前は絡まれ厳しい展開でも重賞で4着健闘。前走は展開不利で崩れてしまったが、マイペースで先行する形になればここでも力上位と見て。,202608031011,芝,1800,良,7,5,56.0,ナムラエイハブ
